,Module,Smiles,BGC_Compound
14,AceP4_Mod.13,CNc1ccc(C(=O)C[C@@H](O)C[CH][C@H](C)[C@@H](O)[C@@H](C)C=[C]C=[C]C=[C]C=[C]C=[C]C=[C]C=[C][C@H](O)C[C@H](O)[C@H](C)C(=O)[S])cc1,67-121C
15,AceP4_Mod.14,CNc1ccc(C(=O)C[C@@H](O)C[CH][C@H](C)[C@@H](O)[C@@H](C)C=[C]C=[C]C=[C]C=[C]C=[C]C=[C]C=[C][C@H](O)C[C@H](O)[C@H](C)C(O)CC(=O)[S])cc1,67-121C
16,AceP4_Mod.15,CNc1ccc(C(=O)C[C@@H](O)C[CH][C@H](C)[C@@H](O)[C@@H](C)C=[C]C=[C]C=[C]C=[C]C=[C]C=[C]C=[C][C@H](O)C[C@H](O)[C@H](C)C(O)CC(=O)CC(=O)[S])cc1,67-121C
17,AceP4_Mod.16,CNc1ccc(C(=O)C[C@@H](O)C[CH][C@H](C)[C@@H](O)[C@@H](C)C=[C]C=[C]C=[C]C=[C]C=[C]C=[C]C=[C][C@H](O)C[C@H](O)[C@H](C)C(O)CC(=O)C[C@@H](O)CC(=O)[S])cc1,67-121C
18,AceP5_Mod.17,CNc1ccc(C(=O)C[C@@H](O)C[CH][C@H](C)[C@@H](O)[C@@H](C)C=[C]C=[C]C=[C]C=[C]C=[C]C=[C]C=[C][C@H](O)C[C@H](O)[C@H](C)C(O)CC(=O)C[C@@H](O)C[C@@H](O)CC(=O)[S])cc1,67-121C
19,AceP5_Mod.18,CNc1ccc(C(=O)C[C@@H](O)C[CH][C@H](C)[C@@H](O)[C@@H](C)C=[C]C=[C]C=[C]C=[C]C=[C]C=[C]C=[C][C@H](O)C[C@H](O)[C@H](C)C(O)CC(=O)C[C@@H](O)C[C@@H](O)C[C@@H](O)CC(=O)[S])cc1,67-121C
20,AceP6_Mod.19,CNc1ccc(C(=O)C[C@@H](O)C[CH][C@H](C)[C@@H](O)[C@@H](C)C=[C]C=[C]C=[C]C=[C]C=[C]C=[C]C=[C][C@H](O)C[C@H](O)[C@H](C)C(O)CC(=O)C[C@@H](O)C[C@@H](O)C[C@@H](O)C[C@@H](O)CC(=O)[S])cc1,67-121C
21,AceP6_Mod.20,CNc1ccc(C(=O)C[C@@H](O)C[CH][C@H](C)[C@@H](O)[C@@H](C)C=[C]C=[C]C=[C]C=[C]C=[C]C=[C]C=[C][C@H](O)C[C@H](O)[C@H](C)C(O)CC(=O)C[C@@H](O)C[C@@H](O)C[C@@H](O)C[C@@H](O)CC(=O)CC(=O)[S])cc1,67-121C
22,AceP6_Mod.21,CNc1ccc(C(=O)C[C@@H](O)C[CH][C@H](C)[C@@H](O)[C@@H](C)C=[C]C=[C]C=[C]C=[C]C=[C]C=[C]C=[C][C@H](O)C[C@H](O)[C@H](C)C(O)CC(=O)C[C@@H](O)C[C@@H](O)C[C@@H](O)C[C@@H](O)CC(=O)C[C@@H](O)CC(=O)[S])cc1,67-121C
23,abyB1_Mod.0,CC(=O)[S],Abyssomicin
24,abyB1_Mod.1,CC=[C]C(=O)[S],Abyssomicin
25,abyB1_Mod.2,CC=[C]C=[C]C(=O)[S],Abyssomicin
26,abyB1_Mod.3,CC=[C]C=[C]C=[C]C(=O)[S],Abyssomicin
27,abyB2_Mod.4,CC=[C]C=[C]C=[C]C(=O)[C@@H](C)C(=O)[S],Abyssomicin
28,abyB2_Mod.5,CC=[C]C=[C]C=[C]C(=O)[C@@H](C)[CH][C@H](C)C(=O)[S],Abyssomicin
29,abyB3_Mod.6,CC=[C]C=[C]C=[C]C(=O)[C@@H](C)[CH][C@H](C)C(=O)CC(=O)[S],Abyssomicin
30,AbsB1_Mod.0,CC(=O)[S],Abyssomicin
31,AbsB1_Mod.1,CC=[C]C(=O)[S],Abyssomicin
32,AbsB1_Mod.2,CC=[C]C=[C]C(=O)[S],Abyssomicin
33,AbsB1_Mod.3,CC=[C]C=[C]C=[C]C(=O)[S],Abyssomicin
34,AbsB2_Mod.4,CC=[C]C=[C]C=[C]C(=O)[C@@H](C)C(=O)[S],Abyssomicin
35,AbsB2_Mod.5,CC=[C]C=[C]C=[C]C(=O)[C@@H](C)[CH][C@H](C)C(=O)[S],Abyssomicin
36,AbsB3_Mod.6,CC=[C]C=[C]C=[C]C(=O)[C@@H](C)[CH][C@H](C)C(=O)CC(=O)[S],Abyssomicin
37,aalA1_Mod.0,CCC(=O)[S],Actinoallolide
38,aalA1_Mod.1,CCC(=O)[C@@H](C)C(=O)[S],Actinoallolide
39,aalA1_Mod.2,CCC(=O)[C@@H](C)[C@H](O)[C@@H](C)C(=O)[S],Actinoallolide
40,aalA1_Mod.3,CCC(=O)[C@@H](C)[C@H](O)[C@@H](C)C=C(C)C(=O)[S],Actinoallolide
41,aalA2_Mod.4,CCC(=O)[C@@H](C)[C@H](O)[C@@H](C)C=C(C)[CH][C@H](C)C(=O)[S],Actinoallolide
42,aalA2_Mod.5,CCC(=O)[C@@H](C)[C@H](O)[C@@H](C)C=C(C)[CH][C@H](C)[C@@H](O)[C@@H](C)C(=O)[S],Actinoallolide
43,aalA2_Mod.6,CCC(=O)[C@@H](C)[C@H](O)[C@@H](C)C=C(C)[CH][C@H](C)[C@@H](O)[C@@H](C)[C@H](O)CC(=O)[S],Actinoallolide
44,aalA2_Mod.7,CCC(=O)[C@@H](C)[C@H](O)[C@@H](C)C=C(C)[CH][C@H](C)[C@@H](O)[C@@H](C)[C@H](O)CC=C(C)C(=O)[S],Actinoallolide
45,aalA3_Mod.8,CCC(=O)[C@@H](C)[C@H](O)[C@@H](C)C=C(C)[CH][C@H](C)[C@@H](O)[C@@H](C)[C@H](O)CC=C(C)[CH][C@H](C)C(=O)[S],Actinoallolide
46,aalA3_Mod.9,CCC(=O)[C@@H](C)[C@H](O)[C@@H](C)C=C(C)[CH][C@H](C)[C@@H](O)[C@@H](C)[C@H](O)CC=C(C)[CH][C@H](C)C(=O)[C@@H](CC)C(=O)[S],Actinoallolide
47,aalA3_Mod.10,CCC(=O)[C@@H](C)[C@H](O)[C@@H](C)C=C(C)[CH][C@H](C)[C@@H](O)[C@@H](C)[C@H]1CC=C(C)[CH][C@H](C)C(=O)[C@@H](CC)C(=O)CC(=O)O1,Actinoallolide
48,Acu_Mod.0,NCCC[C@H](N)C(=O)[S],Aculeacin
49,Acu_Mod.1,CC(O)[C@H](NC(=O)[C@@H](N)CCCN)C(=O)[S],Aculeacin
50,Acu_Mod.2,CC(O)[C@H](NC(=O)[C@@H](N)CCCN)C(=O)N1CCC[C@H]1C(=O)[S],Aculeacin
51,Acu_Mod.3,CC(O)[C@H](NC(=O)[C@@H](N)CCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCc1ccc(O)cc1)C(=O)[S],Aculeacin
52,Acu_Mod.4,CC(O)[C@H](NC(=O)[C@H](CCc1ccc(O)cc1)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](N)CCCN)C(C)O)C(=O)[S],Aculeacin
53,Acu_Mod.5,CC(O)[C@H](NC(=O)[C@H](CCc1ccc(O)cc1)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](N)CCCN)C(C)O)C(=O)N1C[C@@H](C)C[C@H]1C(=O)[S],Aculeacin
54,Acu_Mod.6,CC(O)[C@H](NC(=O)[C@@H](N)CCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCc1ccc(O)cc1)C(=O)N[C@H](C(=O)N1C[C@@H](C)C[C@H]1C(=O)N[C@@H](C)C(=O)[S])C(C)O,Aculeacin
55,acuAI_Mod.0,CCC(=O)[S],Aculeximycin
56,acuAI_Mod.1,CC[C@H](O)[C@@H](C)C(=O)[S],Aculeximycin
57,acuAI_Mod.2,CC[C@H](O)[C@@H](C)[CH][CH]C(=O)[S],Aculeximycin
58,acuAII_Mod.3,CC[C@H](O)[C@@H](C)[CH][CH][C@@H](O)CC(=O)[S],Aculeximycin
59,acuAII_Mod.4,CC[C@H](O)[C@@H](C)[CH][CH][C@@H](O)C[CH][CH]C(=O)[S],Aculeximycin
60,acuAII_Mod.5,CC[C@H](O)[C@@H](C)[CH][CH][C@@H](O)C[CH][CH][C@@H](O)[C@H](C)C(=O)[S],Aculeximycin
61,acuAIII_Mod.6,CC[C@H](O)[C@@H](C)[CH][CH][C@@H](O)C[CH][CH][C@@H](O)[C@H](C)C=[C]C(=O)[S],Aculeximycin
62,acuAIV_Mod.7,CC[C@H](O)[C@@H](C)[CH][CH][C@@H](O)C[CH][CH][C@@H](O)[C@H](C)C=[C]C=[C]C(=O)[S],Aculeximycin
63,acuAIV_Mod.8,CC[C@H](O)[C@@H](C)[CH][CH][C@@H](O)C[CH][CH][C@@H](O)[C@H](C)C=[C]C=[C][C@@H](O)[C@@H](C)C(=O)[S],Aculeximycin
64,acuAV_Mod.9,CC[C@H](O)[C@@H](C)[CH][CH][C@@H](O)C[CH][CH][C@@H](O)[C@H](C)C=[C]C=[C][C@@H](O)[C@@H](C)[C@H](O)CC(=O)[S],Aculeximycin
65,acuAV_Mod.10,CC[C@H](O)[C@@H](C)[CH][CH][C@@H](O)C[CH][CH][C@@H](O)[C@H](C)C=[C]C=[C][C@@H](O)[C@@H](C)[C@H](O)CC(O)CC(=O)[S],Aculeximycin
66,acuAV_Mod.11,CC[C@H](O)[C@@H](C)[CH][CH][C@@H](O)C[CH][CH][C@@H](O)[C@H](C)C=[C]C=[C][C@@H](O)[C@@H](C)[C@H](O)CC(O)C[C@H](O)[C@@H](C)C(=O)[S],Aculeximycin
67,acuAVI_Mod.12,CC[C@H](O)[C@@H](C)[CH][CH][C@@H](O)C[CH][CH][C@@H](O)[C@H](C)C=[C]C=[C][C@@H](O)[C@@H](C)[C@H](O)CC(O)C[C@H](O)[C@@H](C)[C@@H](O)CC(=O)[S],Aculeximycin
68,acuAVI_Mod.13,CC[C@H](O)[C@@H](C)[CH][CH][C@@H](O)C[CH][CH][C@@H](O)[C@H](C)C=[C]C=[C][C@@H](O)[C@@H](C)[C@H](O)CC(O)C[C@H](O)[C@@H](C)[C@@H](O)C[C@H](O)CC(=O)[S],Aculeximycin
69,acuAVI_Mod.14,CC[C@H](O)[C@@H](C)[CH][CH][C@@H](O)C[CH][CH][C@@H](O)[C@H](C)C=[C]C=[C][C@@H](O)[C@@H](C)[C@H](O)CC(O)C[C@H](O)[C@@H](C)[C@@H](O)C[C@H](O)CC(=O)CC(=O)[S],Aculeximycin
70,acuAVI_Mod.15,CC[C@H](O)[C@@H](C)[CH][CH][C@@H](O)C[CH][CH][C@@H](O)[C@H](C)C=[C]C=[C][C@@H](O)[C@@H](C)[C@H](O)CC(O)C[C@H](O)[C@@H](C)[C@@H](O)C[C@H](O)CC(=O)C[C@@H](O)[C@@H](C)C(=O)[S],Aculeximycin
71,acuAVI_Mod.16,CC[C@H](O)[C@@H](C)[CH][CH][C@@H](O)C[CH][CH][C@@H](O)[C@H](C)C=[C]C=[C][C@@H](O)[C@@H](C)[C@H](O)CC(O)C[C@H](O)[C@@H](C)[C@@H](O)C[C@H](O)CC(=O)C[C@@H](O)[C@@H](C)[CH][CH]C(=O)[S],Aculeximycin
72,acuAVII_Mod.17,CC[C@H](O)[C@@H](C)[CH][CH][C@@H](O)C[CH][CH][C@@H](O)[C@H](C)C=[C]C=[C][C@@H](O)[C@@H](C)[C@H](O)CC(O)C[C@H](O)[C@@H](C)[C@@H](O)C[C@H](O)CC(=O)C[C@@H](O)[C@@H](C)[CH][CH][C@@H](O)CC(=O)[S],Aculeximycin
73,acuAVII_Mod.18,CC[C@H](O)[C@@H](C)[CH][CH][C@@H](O)C[CH][CH][C@@H](O)[C@H](C)C=[C]C=[C][C@@H](O)[C@@H](C)[C@H](O)CC(O)C[C@H](O)[C@@H](C)[C@@H](O)C[C@H](O)CC(=O)C[C@@H](O)[C@@H](C)[CH][CH][C@@H](O)C[C@@H](O)CC(=O)[S],Aculeximycin
74,acuAVIII_Mod.19,CC[C@H](O)[C@@H](C)[CH][CH][C@@H](O)C[CH][CH][C@@H](O)[C@H](C)C=[C]C=[C][C@@H](O)[C@@H](C)[C@H](O)CC(O)C[C@H](O)[C@@H](C)[C@@H](O)C[C@H](O)CC(=O)C[C@@H](O)[C@@H](C)[CH][CH][C@@H](O)C[C@@H](O)CC=[C]C(=O)[S],Aculeximycin
75,acuAVIII_Mod.20,CC[C@H](O)[C@@H](C)[CH][CH][C@@H](O)C[CH][CH][C@@H](O)[C@H](C)C=[C]C=[C][C@@H](O)[C@@H](C)[C@H](O)CC(O)C[C@H](O)[C@@H](C)[C@@H](O)C[C@H](O)CC(=O)C[C@@H](O)[C@@H](C)[CH][CH][C@@H](O)C[C@@H](O)CC=[C]C=C(C)C(=O)O,Aculeximycin
76,aerA_Mod.0,O=C([S])[C@@H](O)Cc1ccccc1,Aeruginoside
77,aerB_Mod.1,CC(C)C[C@@H](NC(=O)[C@@H](O)Cc1ccccc1)C(=O)[S],Aeruginoside
78,aerG_Mod.2,CC(C)C[C@@H](NC(=O)[C@@H](O)Cc1ccccc1)C(=O)N1C2CC(O)CCC2C[C@H]1C(=O)[S],Aeruginoside
79,almA_Mod.0,NCC(=O)[S],Althiomycin
80,almA_Mod.1,NCc1nc(C(=O)[S])cs1,Althiomycin
81,almB_Mod.2,NCc1nc(C(=O)N[C@H](CO)C(=O)[S])cs1,Althiomycin
82,almB_Mod.3,NCc1nc(C(=O)N[C@H](CO)C2=N[C@H](C(=O)[S])CS2)cs1,Althiomycin
83,almB_Mod.4,NCc1nc(C(=O)N[C@H](CO)C2=N[C@H](C(=O)NCC(=O)[S])CS2)cs1,Althiomycin
84,almB_Mod.5,NCc1nc(C(=O)N[C@H](CO)C2=N[C@H](C(=O)NCC(=O)CC(=O)O)CS2)cs1,Althiomycin
85,non-ribosomal_Mod.0,NCC(=O)[S],Althiomycin
86,non-ribosomal_Mod.1,NCc1nc(C(=O)[S])cs1,Althiomycin
87,non-ribosomal_Mod.2,NCc1nc(C(=O)N[C@H](CO)C(=O)[S])cs1,Althiomycin
88,non-ribosomal_Mod.3,NCc1nc(C(=O)N[C@H](CO)C2=N[C@H](C(=O)[S])CS2)cs1,Althiomycin
89,non-ribosomal_Mod.4,NCc1nc(C(=O)N[C@H](CO)C2=N[C@H](C(=O)NCC(=O)[S])CS2)cs1,Althiomycin
90,non-ribosomal_Mod.5,NCc1nc(C(=O)N[C@H](CO)C2=N[C@H](C(=O)NCC(=O)CC(=O)O)CS2)cs1,Althiomycin
91,Amino_Mod.0,N[C@@H](CO)C(=O)[S],Ambactin
92,Amino_Mod.1,NC(=O)CC[C@@H](NC(=O)[C@@H](N)CO)C(=O)[S],Ambactin
93,Amino_Mod.2,NC(=O)CC[C@@H](NC(=O)[C@@H](N)CO)C(=O)N[C@@H](Cc1ccccc1)C(=O)[S],Ambactin
94,Amino_Mod.3,CC(C)C[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](CCC(N)=O)NC(=O)[C@@H](N)CO)C(=O)[S],Ambactin
95,Amino_Mod.4,CC(C)C[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](CCC(N)=O)NC(=O)[C@@H](N)CO)C(=O)N[C@@H](Cc1ccccc1)C(=O)[S],Ambactin
96,Amino_Mod.5,CC(C)C[C@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CCC(N)=O)NC(=O)[C@H](CO)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2ccccc2)NC1=O,Ambactin
97,non-ribosomal_Mod.01,O=C([S])c1ccccc1O,Amychelin
98,non-ribosomal_Mod.11,O=C([S])[C@@H]1COC(c2ccccc2O)=N1,Amychelin
99,hypothetical_Mod.2,O=C(N[C@@H](CO)C(=O)[S])[C@@H]1COC(c2ccccc2O)=N1,Amychelin
100,hypothetical_Mod.3,O=C(N[C@@H](CO)C(=O)N[C@H](CO)C(=O)[S])[C@@H]1COC(c2ccccc2O)=N1,Amychelin
101,predicted_Mod.4,O=C(N[C@@H](CO)C(=O)N[C@H](CO)C(=O)N[C@@H](CO)C(=O)[S])[C@@H]1COC(c2ccccc2O)=N1,Amychelin
102,predicted_Mod.5,NCCC[C@@H](NC(=O)[C@H](CO)NC(=O)[C@@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H]1COC(c2ccccc2O)=N1)C(=O)[S],Amychelin
103,predicted_Mod.6,NCCC[C@@H](NC(=O)[C@@H](CCCN)NC(=O)[C@H](CO)NC(=O)[C@@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H]1COC(c2ccccc2O)=N1)C(=O)[S],Amychelin
104,aptA1_Mod.0,N=C(N)NCCC[C@@H](C(=O)O)C(N)C(=O)[S],Anabaenopeptin
105,aptA1_Mod.1,N=C(N)NCCC[C@@H](C(=O)O)C(N)C(=O)N[C@H](CCCCN)C(=O)[S],Anabaenopeptin
106,aptB_Mod.2,CC(C)[C@H](NC(=O)[C@@H](CCCCN)NC(=O)C(N)[C@@H](CCCNC(=N)N)C(=O)O)C(=O)[S],Anabaenopeptin
107,aptC_Mod.3,CC(C)[C@H](NC(=O)[C@@H](CCCCN)NC(=O)C(N)[C@@H](CCCNC(=N)N)C(=O)O)C(=O)N[C@@H](CCc1ccc(O)cc1)C(=O)[S],Anabaenopeptin
108,aptC_Mod.4,CC(C)[C@H](NC(=O)[C@@H](CCCCN)NC(=O)C(N)[C@@H](CCCNC(=N)N)C(=O)O)C(=O)N[C@@H](CCc1ccc(O)cc1)C(=O)N(C)[C@@H](C)C(=O)[S],Anabaenopeptin
109,aptD_Mod.5,CC(C)[C@@H]1NC(=O)[C@H](NC(=O)C(N)[C@@H](CCCNC(=N)N)C(=O)O)CCCCNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C)N(C)C(=O)[C@H](CCc2ccc(O)cc2)NC1=O,Anabaenopeptin
110,apnA_Mod.0,N=C(N)NCCC[C@H](N)C(=O)[S],Anabaenopeptin
111,apnA_Mod.1,N=C(N)NCCC[C@H](N)C(=O)N[C@H](CCCCN)C(=O)[S],Anabaenopeptin
112,apnB_Mod.2,CC(C)[C@H](NC(=O)[C@@H](CCCCN)NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)[S],Anabaenopeptin
113,apnC_Mod.3,CC(C)[C@H](NC(=O)[C@@H](CCCCN)NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@@H](CCc1ccc(O)cc1)C(=O)[S],Anabaenopeptin
114,apnC_Mod.4,CC(C)[C@H](NC(=O)[C@@H](CCCCN)NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@@H](CCc1ccc(O)cc1)C(=O)N(C)[C@@H](CCc1ccc(O)cc1)C(=O)[S],Anabaenopeptin
115,apnD_Mod.5,CCC(C)[C@@H]1NC(=O)[C@H](CCc2ccc(O)cc2)N(C)C(=O)[C@H](CCc2ccc(O)cc2)NC(=O)[C@H](C(C)C)NC(=O)[C@H](NC(=O)[C@@H](N)CCCNC(=N)N)CCCCNC1=O,Anabaenopeptin
116,angAI_Mod.0,CCC(=O)[S],Angolamycin
117,angAI_Mod.1,CC[C@H](O)[C@@H](C)C(=O)[S],Angolamycin
118,angAI_Mod.2,CC[C@H](O)[C@@H](C)C=C(C)C(=O)[S],Angolamycin
119,angAII_Mod.3,CC[C@H](O)[C@@H](C)C=C(C)C=[C]C(=O)[S],Angolamycin
120,angAIII_Mod.4,CC[C@H](O)[C@@H](C)C=C(C)C=[C]C(=O)[C@H](C)C(=O)[S],Angolamycin
121,angAIII_Mod.5,CC[C@H](O)[C@@H](C)C=C(C)C=[C]C(=O)[C@H](C)[CH][C@H](CC)C(=O)[S],Angolamycin
122,angAIV_Mod.6,CC[C@H](O)[C@@H](C)C=C(C)C=[C]C(=O)[C@H](C)[CH][C@H](CC)[C@H](O)[C@@H](C)C(=O)[S],Angolamycin
123,angAV_Mod.7,CC[C@@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O)[C@@H](CC)[CH][C@@H](C)C(=O)[C]=CC(C)=C[C@@H]1C,Angolamycin
124,asmA_Mod.0,Nc1cc(O)cc(C(=O)[S])c1,Ansamitocin
125,asmA_Mod.1,C[C@@H](C(=O)[S])C(=O)c1cc(N)cc(O)c1,Ansamitocin
126,asmA_Mod.2,C[C@@H](C=[C]C(=O)[S])C(=O)c1cc(N)cc(O)c1,Ansamitocin
127,asmB_Mod.3,COC(=C[C]=C[C@H](C)C(=O)c1cc(N)cc(O)c1)C(=O)[S],Ansamitocin
128,asmB_Mod.4,COC(=C[C]=C[C@H](C)C(=O)c1cc(N)cc(O)c1)C(=O)CC(=O)[S],Ansamitocin
129,asmC_Mod.5,COC(=C[C]=C[C@H](C)C(=O)c1cc(N)cc(O)c1)C(=O)C[C@H](O)[C@@H](C)C(=O)[S],Ansamitocin
130,asmD_Mod.6,COC(=C[C]=C[C@H](C)C(=O)c1cc(N)cc(O)c1)C(=O)C[C@H](O)[C@@H](C)C=C(C)C(=O)[S],Ansamitocin
131,asmD_Mod.7,COC(=C[C]=C[C@H](C)C(=O)c1cc(N)cc(O)c1)C(=O)C[C@H](O)[C@@H](C)C=C(C)C=[C]C(=O)[S],Ansamitocin
132,arpPI_Mod.0,CC(=O)[S],Argimycins
133,arpPI_Mod.1,CC=[C]C(=O)[S],Argimycins
134,arpPI_Mod.2,CC=[C]C=[C]C(=O)[S],Argimycins
135,arpPII_Mod.3,CC=[C]C=[C]C=[C]C(=O)[S],Argimycins
136,arpPII_Mod.4,CC=[C]C=[C]C=[C]C(=O)CC(=O)[S],Argimycins
137,arpPIII_Mod.5,CC=[C]C=[C]C=[C]C(=O)CC(O)CC=O,Argimycins
138,arfA_Mod.0,CC(C)C[C@H](N)C(=O)[S],Arthrofactin
139,arfA_Mod.1,CC(C)C[C@H](N)C(=O)N[C@@H](CC(=O)O)C(=O)[S],Arthrofactin
140,arfB_Mod.2,CC(C)C[C@H](N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)[S])C(C)O,Arthrofactin
141,arfB_Mod.3,CC(C)C[C@H](N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)[S])C(C)O,Arthrofactin
142,arfB_Mod.4,CC(C)C[C@H](N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)[S])C(C)O,Arthrofactin
143,arfB_Mod.5,CC(C)C[C@H](N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CO)C(=O)[S])C(C)O,Arthrofactin
144,arfC_Mod.6,CC(C)C[C@H](N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)[S])C(C)O,Arthrofactin
145,arfC_Mod.7,CC(C)C[C@H](N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CO)C(=O)[S])C(C)O,Arthrofactin
146,arfC_Mod.8,CCC(C)[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](N)CC(C)C)C(C)O)C(=O)[S],Arthrofactin
147,arfC_Mod.9,CCC(C)[C@H](NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](N)CC(C)C)C(C)O)C(C)CC)C(=O)[S],Arthrofactin
148,arfC_Mod.10,CCC(C)[C@@H]1NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](N)CC(C)C)C(C)OC(=O)[C@H](CC(=O)O)NC(=O)[C@H](C(C)CC)NC1=O,Arthrofactin
149,aba1_Mod.0,CCC(C)[C@@H](N)C(=O)[S],Aureobasidin
150,aba1_Mod.1,CCC(C)[C@@H](N)C(=O)N(C)[C@H](C(=O)[S])C(C)C,Aureobasidin
151,aba1_Mod.2,CCC(C)[C@@H](N)C(=O)N(C)[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)[S])C(C)C,Aureobasidin
152,aba1_Mod.3,CCC(C)[C@@H](N)C(=O)N(C)[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N(C)[C@@H](Cc1ccccc1)C(=O)[S])C(C)C,Aureobasidin
153,aba1_Mod.4,CCC(C)[C@@H](N)C(=O)N(C)[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N(C)[C@@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)[S])C(C)C,Aureobasidin
